area_type,location,Society,size,Baths,total_sqft,price,availability,,
,Hadapsar,,3 bhk,2,1760,123.00,,,
,Sinhgad Road,,3 bhk,3,1693,57.39,,,
,Sinhgad Road,,3 bhk,3,1925,125.00,,,
,Koregaon Park,,2 bhk,2,700,36.00,,,
,Swargate,,2 bhk,2,1070,45.50,,,
,Karve Nagar,,3 bhk,3,1724,125.00,,,
,Karve Nagar,,3 bhk,2,1290,56.12,,,
,AB Chowk,,2 bhk,2,1143,45.00,,,
,Katraj,,2 bhk,2,1296,81.00,,,
,AB Chowk,,3 bhk,3,1254,38.00,,,
,AB Chowk,,1 bhk,1,600,38.00,,,
,Dhankawadi,,1 bhk,1,660,48.00,,,
,Kondhwa,,2 bhk,2,1330.74,91.79,,,
,Kondhwa,,8 bhk,9,600,200.00,,,
,Kondhwa,,2 bhk,2,970,33.00,,,
,Koregaon Park,,2 bhk,2,1459,94.82,,,
,Kothrud,,2 bhk,1,800,130.00,,,
,Katraj,,2 bhk,2,869,36.00,,,
,Shivaji Nagar,,2 bhk,2,1270,50.00,,,
,Katraj,,3 bhk,3,1670,99.00,,,
,Katraj,,3 bhk,3,2010,91.00,,,
,Katraj,,2 bhk,2,1185,75.00,,,
,Katraj,,3 bhk,2,1600,75.00,,,
,Market yard,,2 bhk,2,1200,44.00,,,
,Model colony,,4 bhk,,3010 - 3410,192.00,,,
,Swargate,,2 bhk,2,1500,185.00,,,
,Swargate,,6 bhk,4,1407,150.00,,,
,Swargate,,2 bhk,2,840,45.00,,,
,Swargate,,3 bhk,3,4395,240.00,,,
,Swargate,,2 bhk,2,845,55.00,,,
,Balaji Nagar,,4 bhk,5,5700,650.00,,,
,Balaji Nagar,,2 bhk,2,1160,44.00,,,
,Padmavati,,8 bhk,8,3000,140.00,,,
,Balaji Nagar,,2 bhk,2,1100,62.00,,,
,Swargate,,2 bhk,2,1140,43.00,,,
,Swargate,,2 bhk,2,1220,57.00,,,
,Swargate,,8 bhk,7,1350,85.00,,,
,Koregaon Park,,2 bhk,2,1005,36.68,,,
,Pune Railway Station,,3 bhk,3,500,100.00,,,
,Koregaon Park,,2 bhk,2,1358,80.58,,,
,Koregaon Park,,3 bhk,3,1569,101.00,,,
,Koregaon Park,,2 bhk,2,1240,70.00,,,
,Sahakar Nagar,,3 bhk,3,2089,140.00,,,
,Dhankawadi,,2 bhk,2,1206,48.23,,,
,Dhankawadi,,2 bhk,2,1150,40.00,,,
,Katraj,,3 bhk,3,2511,205.00,,,
,Sinhgad Road,,2 bhk,1,460,22.00,,,
,Shivaji Nagar,,6 bhk,6,4400,250.00,,,
,Shivaji Nagar,,3 bhk,2,1660,105.00,,,
,Shivaji Nagar,,4 bhk,,2957 - 3450,224.50,,,
,Sinhgad Road,,2 bhk,2,1326,78.00,,,
,Shivaji Nagar,,3 bhk,2,1325,60.80,,,
,Swargate,,3 bhk,5,1499,102.00,,,
,Shivaji Nagar,,6 bhk,7,3000,210.00,,,
,Shivaji Nagar,,3 bhk,3,1665,88.00,,,
,Shivaji Nagar,,2 bhk,2,708,37.00,,,
,Hadapsar,,2 bhk,2,1060,58.06,,,
,Shivaji Nagar,,6 bhk,6,710,160.00,,,
,Shivaji Nagar,,2 bhk,2,1000,70.00,,,
,Hadapsar,,2 bhk,2,1000,28.88,,,
,Hadapsar,,3 bhk,2,1450,70.00,,,
,Koregaon Park,,4 bhk,4,1200,155.00,,,
,Sinhgad Road,,2 bhk,2,1296,80.00,,,
,Sinhgad Road,,3 bhk,3,1540,90.00,,,
,Bibwewadi,,4 bhk,4,2894,245.00,,,
,Ambegaon,,3 bhk,2,1330,48.00,,,
,Ambegaon,,2 bhk,2,1200,65.00,,,
,Amanora Town,,3 bhk,3,1200,90.00,,,
,Amanora Town,,3 bhk,3,2502,138.00,,,
,Balaji Nagar,,2 bhk,1,650,17.00,,,
,Baner,,3 bhk,2,2400,150.00,,,
,Baner,,2 bhk,2,1007,43.00,,,
,Baner,,2 bhk,2,1200,50.00,,,
,Baner,,2 bhk,2,966,49.90,,,
,Bibwewadi,,3 bhk,2,1630,98.00,,,
,Bibwewadi,,3 bhk,3,1640,229.00,,,
,Budhwar Peth,,2 bhk,2,782,55.68,,,
,Bund Garden,,2 bhk,2,1260,66.78,,,
,Camp,,3 bhk,3,1800,120.00,,,
,Bibwewadi,,3 bhk,2,1413,75.00,,,
,Dhankawadi,,2 bhk,2,1116,51.91,,,
,Deccan Gymkhana,,3 bhk,2,1530,45.90,,,
,Bibwewadi,,4 bhk,4,3700,225.00,,,
,Dhankawadi,,3 bhk,3,2497,140.00,,,
,Dhankawadi,,3 bhk,2,1540,64.00,,,
,Bibwewadi,,3 bhk,3,1436,74.75,,,
,Karve Nagar,,2 bhk,2,1100,75.00,,,
,Katraj,,2 bhk,3,276,23.00,,,
,FC Road,,3 bhk,3,1427,120.00,,,
,Katraj,,3 bhk,3,2061,200.00,,,
,FC Road,,4 bhk,4,3067 - 8156,477.00,,,
,Bibwewadi,,4 bhk,4,2650,150.00,,,
,FC Road,,3 bhk,2,1282,68.52,,,
,Swargate,,2 bhk,2,1050,34.00,,,
,Swargate,,3 bhk,3,1600,65.00,,,
,Swargate,,2 bhk,2,945,54.00,,,
,Hadapsar,,2 bhk,2,1500,78.00,,,
,Sinhgad Road,,7 bhk,7,950,115.00,,,
,Sinhgad Road,,3 bhk,3,1870,110.00,,,
,Koregaon Park,,3 bhk,3,1600,75.00,,,
,Swargate,,2 bhk,1,880,16.50,,,
,Karve Nagar,,4 bhk,4,1200,210.00,,,
,Karve Nagar,,3 bhk,3,1535,83.00,,,
,AB Chowk,,2 bhk,2,950,57.00,,,
,Katraj,,2 bhk,2,1360,65.00,,,
,AB Chowk,,2 bhk,2,1042 - 1105,54.01,,,
,AB Chowk,,3 bhk,3,1280,50.40,,,
,Dhankawadi,,3 bhk,2,1260,85.05,,,
,Kondhwa,,8 bhk,8,5000,250.00,,,
,Kondhwa,,5 bhk,5,3050,213.00,,,
,Kondhwa,,3 bhk,3,1563.05,105.00,,,
,Koregaon Park,,2 bhk,2,1000,60.00,,,
,Kothrud,,2 bhk,2,1167,43.76,,,
,Katraj,,7 bhk,7,4000,225.00,,,
,Shivaji Nagar,,3 bhk,3,1828,110.00,,,
,Katraj,,2 bhk,2,890,35.00,,,
,Katraj,,3 bhk,3,1612,46.74,,,
,Katraj,,6 bhk,5,1034,185.00,,,
,Katraj,,3 bhk,4,1710,91.31,,,
,Market yard,,2 bhk,2,957,58.00,,,
,Model colony,,3 bhk,2,1250,44.00,,,
,Swargate,,3 bhk,4,2795,235.00,,,
,Swargate,,2 bhk,2,1125,50.00,,,
,Swargate,,2 bhk,2,1020,30.60,,,
,Swargate,,2 bhk,2,1200,50.00,,,
,Swargate,,3 bhk,3,1735,135.00,,,
,Balaji Nagar,,3 bhk,3,2050,145.00,,,
,Balaji Nagar,,4 bhk,4,3750,760.00,,,
,Padmavati,,3 bhk,2,1350,48.00,,,
,Balaji Nagar,,2 bhk,2,1063,32.00,,,
,Swargate,,3 bhk,3,1904,150.00,,,
,Swargate,,4 bhk,4,4200,420.00,,,
,Swargate,,3 bhk,3,2000,175.00,,,
,Koregaon Park,,2 bhk,2,1145 - 1340,43.49,,,
,Pune Railway Station,,3 bhk,2,1425,75.00,,,
,Koregaon Park,,3 bhk,2,1500,64.50,,,
,Koregaon Park,,2 bhk,2,1060,60.00,,,
,Koregaon Park,,3 bhk,2,1470,70.00,,,
,Sahakar Nagar,,6 bhk,6,1300,99.00,,,
,Dhankawadi,,1 bhk,1,450,11.00,,,
,Dhankawadi,,2 bhk,2,1152,64.50,,,
,Katraj,,3 bhk,2,1350,56.00,,,
,Sinhgad Road,,3 bhk,3,1550,65.00,,,
,Shivaji Nagar,,3 bhk,3,1500,100.00,,,
,Shivaji Nagar,,5 bhk,3,600,85.00,,,
,Shivaji Nagar,,1 bhk,1,400,14.00,,,
,Sinhgad Road,,1 bhk,1,705,67.00,,,
,Shivaji Nagar,,2 bhk,1,770,36.00,,,
,Swargate,,2 bhk,2,1242,51.00,,,
,Shivaji Nagar,,3 bhk,3,1700,155.00,,,
,Shivaji Nagar,,3 bhk,3,2144,145.00,,,
,Shivaji Nagar,,3 bhk,3,1704,110.00,,,
,Hadapsar,,2 bhk,2,1070,52.00,,,
,Shivaji Nagar,,3 bhk,3,1846,300.00,,,
,Shivaji Nagar,,2 bhk,2,1340,55.70,,,
,Hadapsar,,2 bhk,2,1025,46.00,,,
,Hadapsar,,2 bhk,2,1015 - 1540,56.80,,,
,Koregaon Park,,2 bhk,2,1200,52.00,,,
,Sinhgad Road,,4 bhk,4,2250,110.00,,,
,Sinhgad Road,,3 bhk,2,1550,80.00,,,
,Bibwewadi,,4 bhk,5,1200,325.00,,,
,Ambegaon,,7 bhk,7,1800,250.00,,,
,Ambegaon,,2 bhk,2,1200,60.00,,,
,Amanora Town,,2 bhk,2,1327,98.00,,,
,Amanora Town,,2 bhk,2,1186,58.00,,,
,Balaji Nagar,,3 bhk,3,1783,115.00,,,
,Baner,,3 bhk,3,1400,56.00,,,
,Baner,,2 bhk,2,980,48.00,,,
,Baner,,2 bhk,2,1285,82.00,,,
,Baner,,3 bhk,2,912,70.00,,,
,Bibwewadi,,2 bhk,2,1225,47.60,,,
,Bibwewadi,,2 bhk,2,1075,53.00,,,
,Budhwar Peth,,3 bhk,2,1260,54.00,,,
,Bund Garden,,3 bhk,2,1282,48.70,,,
,Camp,,3 bhk,3,1909,88.00,,,
,Bibwewadi,,2 bhk,2,1359,87.00,,,
,Dhankawadi,,2 bhk,2,1207,43.50,,,
,Deccan Gymkhana,,4 bhk,6,1736,190.00,,,
,Bibwewadi,,4 bhk,4,2850,428.00,,,
,Dhankawadi,,3 bhk,3,1595,65.00,,,
,Dhankawadi,,3 bhk,3,1798,89.00,,,
,Bibwewadi,,3 bhk,3,1475,78.29,,,
,Karve Nagar,,3 bhk,3,1580,100.00,,,
,Katraj,,2 bhk,2,1295,65.00,,,
,FC Road,,6 bhk,6,3600,141.00,,,
,Katraj,,1 bhk,1,589,27.00,,,
,FC Road,,3 bhk,3,1415,78.00,,,
,Bibwewadi,,3 bhk,3,1787,98.29,,,
,FC Road,,3 bhk,3,1787,125.00,,,
,Swargate,,3 bhk,2,1475,90.00,,,
,Swargate,,4 bhk,4,2000,75.50,,,
,Swargate,,2 bhk,2,984,44.28,,,
,Hadapsar,,3 bhk,,1520 - 1740,74.82,,,
,Sinhgad Road,,3 bhk,4,2405,260.00,,,
,Sinhgad Road,,2 bhk,2,1080,72.00,,,
,Koregaon Park,,2 bhk,2,1500,115.00,,,
,Swargate,,3 bhk,3,1900,119.00,,,
,Karve Nagar,,2 bhk,2,805,22.14,,,
,Karve Nagar,,2 bhk,2,1153,56.40,,,
,AB Chowk,,2 bhk,2,1148,60.00,,,
,Katraj,,2 bhk,2,1110,55.00,,,
,AB Chowk,,2 bhk,2,1100,42.00,,,
,AB Chowk,,2 bhk,2,1290,110.00,,,
,Dhankawadi,,3 bhk,2,1500,65.00,,,
,Kondhwa,,2 bhk,2,1080,39.00,,,
,Kondhwa,,3 bhk,3,1933,129.00,,,
,Kondhwa,,5 bhk,5,3500,150.00,,,
,Koregaon Park,,2 bhk,2,1060,60.00,,,
,Kothrud,,1 bhk,1,645,16.45,,,
,Katraj,,8 bhk,8,2600,180.00,,,
,Shivaji Nagar,,1 bhk,1,645,16.45,,,
,Katraj,,3 bhk,3,1644,84.00,,,
,Katraj,,2 bhk,2,1285,72.50,,,
,Katraj,,3 bhk,3,1200,90.00,,,
,Katraj,,2 bhk,2,910,40.00,,,
,Market yard,,3 bhk,3,1577,70.00,,,
,Model colony,,3 bhk,3,4050,280.00,,,
,Swargate,,3 bhk,3,2420,185.00,,,
,Swargate,,2 bhk,1,800,20.00,,,
,Swargate,,2 bhk,2,1060,55.00,,,
,Swargate,,2 bhk,2,1270,93.00,,,
,Swargate,,2 bhk,2,900,22.50,,,
,Balaji Nagar,,2 bhk,2,1280,69.00,,,
,Balaji Nagar,,4 bhk,2,1200,95.00,,,
,Padmavati,,2 bhk,2,1025,36.00,,,
,Balaji Nagar,,2 bhk,2,1108,63.00,,,
,Swargate,,5 bhk,5,1200,170.00,,,
,Swargate,,3 bhk,3,3045,170.00,,,
,Swargate,,4 bhk,3,2900,300.00,,,
,Koregaon Park,,3 bhk,3,1500,75.50,,,
,Pune Railway Station,,2 bhk,2,1295,43.90,,,
,Koregaon Park,,2 bhk,2,1162,59.90,,,
,Koregaon Park,,2 bhk,2,1035,49.20,,,
,Koregaon Park,,4 bhk,4,1600,52.80,,,
,Sahakar Nagar,,3 bhk,3,1464,46.00,,,
,Dhankawadi,,3 bhk,2,1866,61.58,,,
,Dhankawadi,,2 bhk,1,700,26.00,,,
,Katraj,,3 bhk,3,1804,120.00,,,
,Sinhgad Road,,2 bhk,2,913,32.00,,,
,Shivaji Nagar,,3 bhk,3,1868,131.00,,,
,Shivaji Nagar,,2 bhk,2,883,45.00,,,
,Shivaji Nagar,,2 bhk,2,900,110.00,,,
,Sinhgad Road,,3 bhk,2,1664,73.95,,,
,Shivaji Nagar,,3 bhk,3,2026,132.00,,,
,Swargate,,2 bhk,2,1210,80.90,,,
,Shivaji Nagar,,4 bhk,4,4111,250.00,,,
,Shivaji Nagar,,3 bhk,3,1762,91.45,,,
,Shivaji Nagar,,3 bhk,3,1252,55.00,,,
,Hadapsar,,2 bhk,2,861,34.50,,,
,Shivaji Nagar,,3 bhk,2,1420,100.00,,,
,Shivaji Nagar,,6 bhk,6,1450,250.00,,,
,Hadapsar,,3 bhk,3,1490,78.80,,,
,Hadapsar,,3 bhk,2,1075,46.00,,,
,Koregaon Park,,3 bhk,2,1425,94.00,,,
,Sinhgad Road,,2 bhk,2,1200,40.00,,,
,Sinhgad Road,,3 bhk,2,1280,56.00,,,
,Bibwewadi,,2 bhk,2,1084,50.00,,,
,Ambegaon,,2 bhk,2,1015,25.88,,,
,Ambegaon,,2 bhk,2,1017,51.25,,,
,Amanora Town,,2 bhk,2,1027,44.00,,,
,Amanora Town,,2 bhk,2,1069,45.00,,,
,Balaji Nagar,,2 bhk,2,1349,98.20,,,
,Baner,,2 bhk,2,1005,50.00,,,
,Baner,,2 bhk,2,1417,75.00,,,
,Baner,,3 bhk,3,1475,98.00,,,
,Baner,,2 bhk,2,950,47.00,,,
,Bibwewadi,,4 bhk,4,2000,120.00,,,
,Bibwewadi,,3 bhk,3,880,140.00,,,
,Budhwar Peth,,4 bhk,3,1863,104.00,,,
,Bund Garden,,2 bhk,2,1010,29.50,,,
,Camp,,3 bhk,2,1425,70.00,,,
,Bibwewadi,,3 bhk,3,1450,100.00,,,
,Dhankawadi,,3 bhk,3,1847,105.00,,,
,Deccan Gymkhana,,2 bhk,2,1100,45.00,,,
,Bibwewadi,,1 bhk,1,525,26.00,,,
,Dhankawadi,,3 bhk,3,1665,95.00,,,
,Dhankawadi,,4 bhk,4,1664,65.00,,,
,Bibwewadi,,3 bhk,3,1850,150.00,,,
,Karve Nagar,,2 bhk,2,1438,100.00,,,
,Katraj,,3 bhk,3,1560,115.00,,,
,FC Road,,2 bhk,2,1350,55.55,,,
,Katraj,,3 bhk,3,1550,67.00,,,
,FC Road,,2 bhk,2,1140,46.50,,,
,Bibwewadi,,5 bhk,5,1200,180.00,,,
,FC Road,,2 bhk,2,850,27.00,,,
,Swargate,,2 bhk,2,1280,75.00,,,
,Swargate,,2 bhk,2,1170,52.00,,,
,Swargate,,2 bhk,2,1113,51.00,,,
,Hadapsar,,2 bhk,2,1385,83.09,,,
,Sinhgad Road,,2 bhk,2,1128,65.00,,,
,Sinhgad Road,,2 bhk,2,1200,128.00,,,
,Koregaon Park,,4 bhk,4,1200,165.00,,,
,Swargate,,3 bhk,3,2390,415.00,,,
,Karve Nagar,,4 bhk,4,2400,400.00,,,
,Karve Nagar,,3 bhk,3,1464,56.00,,,
,AB Chowk,,2 bhk,2,1200,55.00,,,
,Katraj,,2 bhk,2,1200,52.00,,,
,AB Chowk,,3 bhk,2,1150,55.00,,,
,AB Chowk,,3 bhk,3,1645,95.00,,,
,Dhankawadi,,2 bhk,2,1000,67.00,,,
,Kondhwa,,4 bhk,4,2650,198.00,,,
,Kondhwa,,2 bhk,2,1192,74.00,,,
,Kondhwa,,3 bhk,3,2135,215.00,,,
,Koregaon Park,,2 bhk,2,1173,58.00,,,
,Kothrud,,2 bhk,2,1020,45.00,,,
,Katraj,,4 bhk,6,3122,230.00,,,
,Shivaji Nagar,,3 bhk,3,1600,64.00,,,
,Katraj,,2 bhk,2,1200,79.00,,,
,Katraj,,2 bhk,2,1230,48.00,,,
,Katraj,,2 bhk,2,1250,40.00,,,
,Katraj,,2 bhk,2,1325,76.00,,,
,Market yard,,3 bhk,3,1850,150.00,,,
,Model colony,,1 bhk,,525,21.53,,,
,Swargate,,2 bhk,2,1200,65.00,,,
,Swargate,,3 bhk,2,1350,140.00,,,
,Swargate,,3 bhk,3,1260,49.36,,,
,Swargate,,3 bhk,3,1800,150.00,,,
,Swargate,,3 bhk,3,11,74.00,,,
,Balaji Nagar,,2 bhk,2,1100,43.25,,,
,Balaji Nagar,,2 bhk,2,1508,77.00,,,
,Padmavati,,3 bhk,3,1592,75.00,,,
,Balaji Nagar,,2 bhk,2,1388,57.00,,,
,Swargate,,1 bhk,1,630,28.35,,,
,Swargate,,3 bhk,3,2000,365.00,,,
,Swargate,,3 bhk,3,1762,125.00,,,
,Koregaon Park,,2 bhk,2,950,50.00,,,
,Pune Railway Station,,4 bhk,5,3252,335.00,,,
,Koregaon Park,,2 bhk,2,1116,50.00,,,
,Koregaon Park,,2 bhk,2,1308,89.04,,,
,Koregaon Park,,3 bhk,3,1200,90.00,,,
,Sahakar Nagar,,4 bhk,4,1500,230.00,,,
,Dhankawadi,,1 bhk,1,500,18.50,,,
,Dhankawadi,,2 bhk,2,1075,52.00,,,
,Katraj,,1 bhk,1,530,11.66,,,
,Sinhgad Road,,2 bhk,2,1205,66.00,,,
,Shivaji Nagar,,2 bhk,2,1075,60.00,,,
,Shivaji Nagar,,2 bhk,2,930,39.00,,,
,Shivaji Nagar,,2 bhk,2,1380,60.00,,,
,Sinhgad Road,,4 bhk,5,2483,212.00,,,
,Shivaji Nagar,,2 bhk,2,1166,55.00,,,
,Swargate,,2 bhk,2,1050,65.00,,,
,Shivaji Nagar,,3 bhk,3,2023.71,275.00,,,
,Shivaji Nagar,,2 bhk,2,1200,46.80,,,
,Shivaji Nagar,,3 bhk,2,1600,108.00,,,
,Hadapsar,,3 bhk,3,1935,110.00,,,
,Shivaji Nagar,,1 bhk,1,451,29.90,,,
,Shivaji Nagar,,3 bhk,3,1800,95.00,,,
,Hadapsar,,3 bhk,3,1400,77.00,,,
,Hadapsar,,3 bhk,3,1801,115.00,,,
,Koregaon Park,,2 bhk,2,1451,90.00,,,
,Sinhgad Road,,2 bhk,1,1200,36.00,,,
,Sinhgad Road,,2 bhk,2,1160,44.00,,,
,Bibwewadi,,2 bhk,2,1000,25.00,,,
,Ambegaon,,2 bhk,2,950,40.00,,,
,Ambegaon,,3 bhk,3,1629,79.00,,,
,Amanora Town,,3 bhk,2,1580,134.00,,,
,Amanora Town,,3 bhk,3,1826,121.00,,,
,Balaji Nagar,,2 bhk,2,1245,94.00,,,
,Baner,,2 bhk,2,1145,45.79,,,
,Baner,,2 bhk,2,825,33.00,,,
,Baner,,3 bhk,3,1693,108.00,,,
,Baner,,2 bhk,2,1113.27,53.00,,,
,Bibwewadi,,2 bhk,2,1460,58.00,,,
,Bibwewadi,,2 bhk,2,1050,32.00,,,
,Budhwar Peth,,2 bhk,2,1260,55.00,,,
,Bund Garden,,6 bhk,3,700,120.00,,,
,Camp,,2 bhk,2,1656,120.00,,,
,Bibwewadi,,3 bhk,3,1208,45.00,,,
,Dhankawadi,,3 bhk,3,1910,161.00,,,
,Deccan Gymkhana,,4 bhk,4,3252,230.00,,,
,Bibwewadi,,2 bhk,2,1200,65.00,,,
,Dhankawadi,,4 bhk,4,1200,175.00,,,
,Dhankawadi,,2 bhk,2,1175,82.00,,,
,Bibwewadi,,2 bhk,2,1000,165.00,,,
,Karve Nagar,,4 bhk,2,1200,125.00,,,
,Katraj,,3 bhk,3,2390,410.00,,,
,FC Road,,7 bhk,6,12000,2200.00,,,
,Katraj,,2 bhk,1,550,62.00,,,
,FC Road,,1 bhk,1,350,18.50,,,
,Bibwewadi,,2 bhk,2,1185,38.00,,,
,FC Road,,2 bhk,2,750,38.00,,,
,Swargate,,6 bhk,7,1200,250.00,,,
,Swargate,,3 bhk,3,1550,64.50,,,
,Swargate,,3 bhk,3,1760,88.00,,,
,Hadapsar,,2 bhk,2,1125,62.00,,,
,Sinhgad Road,,3 bhk,3,1350,150.00,,,
,Sinhgad Road,,2 bhk,2,1000,55.00,,,
,Koregaon Park,,2 bhk,2,1090,31.48,,,
,Swargate,,2 bhk,2,1200,60.00,,,
,Karve Nagar,,3 bhk,4,1991,103.00,,,
,Karve Nagar,,2 bhk,2,1060,26.50,,,
,AB Chowk,,2 bhk,2,1105,75.00,,,
,Katraj,,2 bhk,2,985,67.00,,,
,AB Chowk,,6 bhk,5,1533,85.00,,,
,AB Chowk,,3 bhk,3,1590,79.00,,,
,Dhankawadi,,2 bhk,2,1120,55.00,,,
,Kondhwa,,2 bhk,2,1069,55.00,,,
,Kondhwa,,3 bhk,3,1933,140.00,,,
,Kondhwa,,2 bhk,2,1194,69.00,,,
,Koregaon Park,,2 bhk,2,1150,69.00,,,
,Kothrud,,2 bhk,2,1240,47.12,,,
,Katraj,,2 bhk,2,1419,48.10,,,
,Shivaji Nagar,,8 bhk,8,1200,250.00,,,
,Katraj,,3 bhk,4,2150,240.00,,,
,Katraj,,3 bhk,3,1450,55.00,,,
,Katraj,,3 bhk,3,1630,68.29,,,
,Katraj,,2 bhk,1,708,40.00,,,
,Market yard,,3 bhk,4,1000,110.00,,,
,Model colony,,4 bhk,4,11890,700.00,,,
,Swargate,,2 bhk,2,1250,76.00,,,
,Swargate,,3 bhk,2,1400,95.00,,,
,Swargate,,3 bhk,2,1670,57.00,,,
,Swargate,,3 bhk,3,1750,100.00,,,
,Swargate,,2 bhk,2,1404,71.00,,,
,Balaji Nagar,,3 bhk,2,1715,95.00,,,
,Balaji Nagar,,1 bhk,1,630,34.65,,,
,Padmavati,,3 bhk,3,1752.12,135.00,,,
,Balaji Nagar,,3 bhk,3,1650,78.00,,,
,Swargate,,2 bhk,2,1295,55.47,,,
,Swargate,,3 bhk,3,1800,252.00,,,
,Swargate,,2 bhk,2,1346,74.03,,,
,Koregaon Park,,4 bhk,4,1200,200.00,,,
,Pune Railway Station,,2 bhk,2,1150,55.00,,,
,Koregaon Park,,4 bhk,4,3309,325.00,,,
,Koregaon Park,,3 bhk,2,1190,30.35,,,
,Koregaon Park,,3 bhk,3,1620,98.00,,,
,Sahakar Nagar,,2 bhk,2,950,46.96,,,
,Dhankawadi,,11 bhk,9,5000,360.00,,,
,Dhankawadi,,3 bhk,3,2450,120.00,,,
,Katraj,,3 bhk,2,1220,35.23,,,
,Sinhgad Road,,2 bhk,2,850,30.00,,,
,Shivaji Nagar,,2 bhk,2,1020,63.00,,,
,Shivaji Nagar,,2 bhk,2,1100,50.00,,,
,Shivaji Nagar,,2 bhk,2,1150,126.00,,,
,Sinhgad Road,,3 bhk,2,1760,130.00,,,
,Shivaji Nagar,,3 bhk,3,1800,110.00,,,
,Swargate,,2 bhk,2,1070,54.00,,,
,Shivaji Nagar,,4 bhk,4,1500,220.00,,,
,Shivaji Nagar,,2 bhk,2,1440,95.00,,,
,Shivaji Nagar,,2 bhk,2,900,40.00,,,
,Hadapsar,,4 bhk,4,1200,230.00,,,
,Shivaji Nagar,,2 bhk,2,1130,42.16,,,
,Shivaji Nagar,,2 bhk,2,1320,165.00,,,
,Hadapsar,,2 bhk,2,1270,98.00,,,
,Hadapsar,,2 bhk,2,1200,62.00,,,
,Koregaon Park,,4 bhk,4,4800,235.00,,,
,Sinhgad Road,,2 bhk,2,1200,74.00,,,
,Sinhgad Road,,2 bhk,2,929,50.17,,,
,Bibwewadi,,4 bhk,4,1150,260.00,,,
,Ambegaon,,4 bhk,4,1125,180.00,,,
,Ambegaon,,5 bhk,3,500,65.00,,,
,Amanora Town,,5 bhk,5,1200,190.00,,,
,Amanora Town,,3 bhk,3,1464,56.00,,,
,Balaji Nagar,,4 bhk,4,3600,400.00,,,
,Baner,,4 bhk,4,2000,99.00,,,
,Baner,,2 bhk,2,1208,49.00,,,
,Baner,,2 bhk,2,1130,60.00,,,
,Baner,,3 bhk,3,1753,120.00,,,
,Bibwewadi,,5 bhk,7,4500,337.00,,,
,Bibwewadi,,3 bhk,3,600,58.00,,,
,Budhwar Peth,,2 bhk,2,1196,94.42,,,
,Bund Garden,,2 bhk,3,1150,52.50,,,
,Camp,,2 bhk,2,1128,63.00,,,
,Bibwewadi,,2 bhk,2,1000,53.00,,,
,Dhankawadi,,2 bhk,2,1035,45.00,,,
,Deccan Gymkhana,,2 bhk,2,950,32.00,,,
,Bibwewadi,,3 bhk,2,1075,36.00,,,
,Dhankawadi,,2 bhk,2,1040,48.50,,,
,Dhankawadi,,2 bhk,2,720,45.00,,,
,Bibwewadi,,3 bhk,3,1511,95.00,,,
,Karve Nagar,,3 bhk,3,1300,58.00,,,
,Katraj,,3 bhk,3,1545,68.75,,,
,FC Road,,1 bhk,2,375,26.00,,,
,Katraj,,2 bhk,2,1062,38.00,,,
,FC Road,,2 bhk,2,1115,40.00,,,
,Bibwewadi,,2 bhk,2,1000,35.00,,,
,FC Road,,2 bhk,2,883,45.00,,,
,Swargate,,2 bhk,2,1195,70.00,,,
,Swargate,,4 bhk,3,1200,165.00,,,
,Swargate,,1 bhk,1,700,41.00,,,
,Hadapsar,,2 bhk,2,1246,67.00,,,
,Sinhgad Road,,4 bhk,4,660,90.00,,,
,Sinhgad Road,,4 bhk,4,8500,145.00,,,
,Koregaon Park,,4 bhk,4,1600,80.00,,,
,Swargate,,4 bhk,5,2805,154.00,,,
,Karve Nagar,,3 bhk,3,1584,65.00,,,
,Karve Nagar,,4 bhk,5,3000,275.00,,,
,AB Chowk,,3 bhk,2,1175,48.00,,,
,Katraj,,3 bhk,3,1595,115.00,,,
,AB Chowk,,2 bhk,2,1353,110.00,,,
,AB Chowk,,3 bhk,3,1599,125.00,,,
,Dhankawadi,,2 bhk,2,1150,70.00,,,
,Kondhwa,,4 bhk,6,5230,465.00,,,
,Kondhwa,,2 bhk,2,1155,42.74,,,
,Kondhwa,,1 bhk,2,1200,85.00,,,
,Koregaon Park,,2 bhk,2,1000,25.00,,,
,Kothrud,,4 bhk,4,3000,120.00,,,
,Katraj,,3 bhk,3,1867,160.00,,,
,Shivaji Nagar,,2 bhk,2,1251,47.00,,,
,Katraj,,2 bhk,2,1028,45.50,,,
,Katraj,,2 bhk,2,1222,45.00,,,
,Katraj,,3 bhk,2,1170,66.00,,,
,Katraj,,3 bhk,4,2400,245.00,,,
,Market yard,,3 bhk,2,1385,48.48,,,
,Model colony,,2 bhk,2,1372,68.00,,,
,Swargate,,3 bhk,2,1282,49.00,,,
,Swargate,,9 bhk,9,5000,210.00,,,
,Swargate,,5 bhk,3,3000,528.00,,,
,Swargate,,2 bhk,2,1135,39.73,,,
,Swargate,,3 bhk,3,1768,101.00,,,
,Balaji Nagar,,3 bhk,2,1325,90.00,,,
,Balaji Nagar,,3 bhk,3,1599,99.00,,,
,Padmavati,,3 bhk,3,1500,61.95,,,
,Balaji Nagar,,3 bhk,3,2610,499.00,,,
,Swargate,,2 bhk,2,1286,63.00,,,
,Swargate,,5 bhk,5,2845,140.00,,,
,Swargate,,3 bhk,2,1600,50.00,,,
