area_type,location,Society,size,Baths,total_sqft,price,availability,,
Super Built-up Area,Bibwewadi,Gagan Galaxy,2 bhk,2,975,151.00,Ready to Move,,
Built-up area,Bibwewadi,Ramyanagari,2 bhk,1,700,65.00,Ready to Move,,
Built-up area,Padmavati,Suvarnapushpa,2 bhk,2,1271,140.00,Ready to Move,,
Super Built-up Area,Bibwewadi,Padmaja park,2 bhk,2,1080,73.00,Ready to Move,,
Super Built-up Area,Bibwewadi,Mahesh Society,2 bhk,2,800,65.00,Ready to Move,,
Super Built-up Area,Bibwewadi,Mahesh Society,2 bhk,2,1200,90.00,Ready to move,,
Super Built-up Area,Padmavati,Padmavati apartment,2 bhk,2,1050,110.00,Ready to move,,
Super Built-up Area,Bibwewadi,Dream city,2 bhk,1,1010,60.00,Ready to move,,
Super Built-up Area,Bibwewadi,Suvarna Nagari,1 bhk,1,570,50.00,Ready to move,,
Built-up Area,Bibwewadi,Standalone,1 bhk,1,530,45.00,Ready to move,,
Super Built-up Area,Bibwewadi,Purple castle,1 bhk,1,540,50.00,Ready to move,,
Super Built-up Area,Bibwewadi,Audi Arcade,1 bhk,1,528,47.00,Ready to move,,
Super Built-up Area,Bibwewadi,Vimal Vihar,1 bhk,1,525,51.00,Ready to move,,
Super Built-up Area,Bibwewadi,Prestige Avenue,1 bhk,1,595,50.00,Ready to move,,
Built-up Area,Bibwewadi,Aboli Apartment,1 bhk,1,640,45.00,Ready to move,,
Built-up Area,Bibwewadi,Madhusudan Park,1 bhk,1,500,35.00,Ready to move,,
Built-up Area,Bibwewadi,Sadguru Park,1 bhk,1,670,34.00,Ready to move,,
Built-up Area,Bibwewadi,Moraya Majestic,1 bhk,1,608,41.20,Ready to move,,
Built-up Area,Bibwewadi,Morya Nagari,1 bhk,1,516,26.00,Ready to move,,
Built-up Area,Bibwewadi,Om abhishek,1 bhk,1,560,55.00,Ready to move,,
Built-up Area,Bibwewadi,Kumar Park,1 bhk,1,600,81.00,Ready to move,,
Built-up Area,Bibwewadi,Laxmi Narayan,1 bhk,1,385,16.50,Ready to move,,
Built-up Area,Bibwewadi,Kumar Park,1 bhk,1,580,50.00,Ready to move,,
Built-up Area,Bibwewadi,Rajyog Society,1 bhk,1,400,48.00,Ready to move,,
Built-up Area,Bibwewadi,Kumar Park,1 bhk,1,590,59.00,Ready to move,,
Built-up Area,Bibwewadi,Jairaj Lake Town,1 bhk,1,600,52.00,Ready to move,,
Built-up Area,Bibwewadi,Pokale vasti,1 bhk,1,550,35.00,Ready to move,,
Built-up Area,Bibwewadi,,1 bhk,1,276,18.00,Ready to move,,
Built-up Area,Bibwewadi,Jairaj Lake Town,1 bhk,1,602,51.00,Ready to move,,
Built-up Area,Bibwewadi,Pruthvi Residency,1 bhk,1,545,32.00,Ready to move,,
Built-up Area,Dhankawadi,,1 bhk,1,515,21.80,Ready to move,,
Built-up Area,Bibwewadi,Hillview Society,1 bhk,1,540,35.00,Ready to move,,
Built-up Area,Bibwewadi,Kumar Park,1 bhk,1,617,60.00,Ready to move,,
Built-up Area,Bibwewadi,Trimurthi Apartment,1 bhk,1,380,22.00,Ready to move,,
Built-up Area,Bibwewadi,Todkar Residency,1 bhk,1,780,50.00,Ready to move,,
Built-up Area,Katraj,Chintamani,1 bhk,1,550,30.00,Ready to move,,
Built-up Area,Dhankawadi,Sai heights,1 bhk,1,610,25.00,Ready to move,,
Built-up Area,Bibwewadi,Pooja Park,1 bhk,1,575,57.00,Ready to move,,
Built-up Area,Dhankawadi,Zambre Heights,1 bhk,1,648,52.00,Ready to move,,
Built-up Area,Bibwewadi,Bhagyanagari Society,1 bhk,1,500,35.00,Ready to move,,
Built-up Area,Dhankawadi,Nirmal Park,1 bhk,1,607,48.00,Ready to move,,
Built-up Area,Bibwewadi,Green Acres,1 bhk,1,560,36.00,Ready to move,,
Built-up Area,Bibwewadi,Sai Dham,1 bhk,1,550,36.00,Ready to move,,
Built-up Area,Dhankawadi,balaji Nagar,1 bhk,1,680,28.00,Ready to move,,
Built-up Area,Dhankawadi,Omkar Apartment,1 bhk,1,500,45.00,Ready to move,,
Built-up Area,Dhankawadi,Ganesh Garden,1 bhk,1,660,56.00,Ready to move,,
Super Built-up Area,Katraj,Laxmi Golden,2 bhk,2,850,55.00,Ready to move,,
Super Built-up Area,Katraj,KNK Yashashree,2 bhk,2,905,65.00,Ready to move,,
Super Built-up Area,Katraj,Wonder city,1 bhk,1,722,45.00,Ready to move,,
Super Built-up Area,Katraj,Annex,1 bhk,1,527,42.00,Ready to move,,
Super Built-up Area,Katraj,Anita Residency,1 bhk,1,580,35.00,Ready to move,,
Super Built-up Area,Katraj,Shree krupa Srushti,2 bhk,2,850,60.00,Ready to move,,
Super Built-up Area,Katraj,Neel Lochan,1 bhk,1,586,42.00,Ready to move,,
Super Built-up Area,Katraj,,1 bhk,1,750,37.00,Ready to move,,
Built-up Area,Katraj,Sai Dham,2 bhk,2,950,60.00,Ready to move,,
Built-up Area,Katraj,,2 bhk,2,1020,70.00,Ready to move,,
Super Built-up Area,Katraj,Parvati Residency,2 bhk,2,1055,72.80,Ready to move,,
Super Built-up Area,Katraj,DNK bay,1 bhk,1,660,41.50,Ready to move,,
Built-up Area,Katraj,Annexure,1 bhk,1,500,45.60,Ready to move,,
Built-up Area,Katraj,Swami Samarth,1 bhk,1,750,35.00,Ready to move,,
Super Built-up Area,Katraj,,2 bhk,2,1200,67.30,Ready to move,,
Built-up Area,Katraj,Hemant Kamala city,1 bhk,1,605,45.00,Ready to move,,
Super Built-up Area,Katraj,,2 bhk,2,974,60.00,Ready to move,,
Built-up Area,Katraj,Manik Moti,3 bhk,2,1140,72.00,Ready to move,,
Built-up Area,Katraj,,1 bhk,1,625,35.00,Ready to move,,
Super Built-up Area,Katraj,Laketown chs,2 bhk,2,1050,120.00,Ready to move,,
Plot Area,Katraj,,3,4,1500,20.00,Ready to move,,
Super Built-up Area,Katraj,Mitali Complex,2 bhk,2,878,57.00,Ready to move,,
Super Built-up Area,Katraj,Nilaya,2 bhk,2,1050,66.50,Ready to move,,
Built-up Area,Katraj,Shree Ganesh Vihar,1 rk,1,265,12.00,Under construction,,
Super Built-up Area,Katraj,Samruddhi Swapnashilp,2 bhk,2,820,46.00,Ready to move,,
Built-up Area,Katraj,Manik Moti,1 bhk,1,410,26.00,Ready to move,,
Super Built-up Area,Katraj,Ashok Agam,2 bhk,2,1151,70.00,Ready to move,,
Built-up Area,Katraj,Manik Moti,3 bhk,2,1140,72.00,Ready to move,,
Built-up Area,Katraj,Nayan Park,3 bhk,2,1100,62.00,Ready to move,,
Super Built-up Area,Bibwewadi,Gagan signet,3 bhk,3,1670,125.00,Under construction,,
Super Built-up Area,Katraj,Mangal gyan,3 bhk,3,1800,99.00,Ready to move,,
Super Built-up Area,Katraj,Manik Moti,3 bhk,2,1140,70.00,Ready to move,,
Super Built-up Area,Katraj,Wonder city,4 bhk,4,2100,164.00,Ready to move,,
Super Built-up Area,Katraj,Nancy Lake Homes,3 bhk,3,1164,117.00,Ready to move,,
Built-up Area,Hadapsar,Shapoorji annexe,1 bhk,1,430,37.50,Under construction,,
Built-up Area,Hadapsar,Wellwisher Kiarah,2 bhk,2,697,55.00,Under construction,,
Built-up Area,Hadapsar,Shapoorji annexe,2 bhk,2,619-726,55.00,Under construction,,
Built-up Area,Hadapsar,Tranquility,1 bhk,1,432-497,34.50,Under construction,,
Built-up Area,Hadapsar,Tranquility,2 bhk,2,658-694,52.60,Under construction,,
Built-up Area,Hadapsar,greenwoods,3 bhk,3,895-911,75.50,Ready to move,,
Built-up Area,Hadapsar,greenwoods,2 bhk,2,734-886,70.00,Ready to move,,
Built-up Area,Hadapsar,Unika,2 bhk,2,767-795,68.40,Under construction,,
Built-up Area,Hadapsar,Unika,3 bhk,4,1067,93.20,Under construction,,
Built-up Area,Hadapsar,Kumar Pebble Park,2 bhk,2,550-650,50.80,Ready to move,,
Super Built-up Area,Hadapsar,Kumar Prospera,2 bhk,2,678-864,115.00,Under construction,,
Super Built-up Area,Hadapsar,Kumar Prospera,3 bhk,3,1009-1242,150.00,Under construction,,
Built-up Area,Hadapsar,Shapoorji annexe,3 bhk,3,820,70.02,Under construction,,
Built-up Area,Hadapsar,ARV Royale,3 bhk,4,919,64.09,Under construction,,
Built-up Area,Karve Nagar,Parth Enclave,2 bhk,2,875-894,120.00,Under construction,,
Built-up Area,Karve Nagar,Shree Gardens,2 bhk,2,800,90.00,Ready to move,,
Super Built-up Area,Dhankawadi,Kumar Pinakin,2 bhk,2,1170,80.00,Ready to move,,
Built-up Area,Karve Nagar,SRK K52,4 bhk,4,2450,350.00,Ready to move,,
Built-up Area,Karve Nagar,,2 bhk,2,885,120.00,Ready to move,,
Built-up Area,Karve Nagar,,2 bhk,1,808,112.00,Ready to move,,
Built-up Area,Karve Nagar,GPC,2 bhk,1,730,95.00,Ready to move,,
Built-up Area,Karve Nagar,,2 bhk,1,640,75.00,Ready to move,,
Built-up Area,Dhankawadi,,1 bhk,1,625,39.99,Ready to move,,
Super Built-up Area,Karve Nagar,Mapple Towers,1 bhk,1,600,40.00,Ready to move,,
Super Built-up Area,Karve Nagar,Shitij,3 bhk,3,1610,195.00,Ready to move,,
Super Built-up Area,Karve Nagar,,2 bhk,2,1200,88.00,Ready to move,,
Super Built-up Area,Koregaon Park,Rahul Residency,2 bhk,2,1400,100.00,Ready to move,,
Plot Area,Karve Nagar,Basera hsg soc,4 bhk,3,1000,130.00,Ready to move,,
Built-up Area,Dhankawadi,Taljai,2 bhk,2,817,61.00,Ready to move,,
Super Built-up Area,Dhankawadi,Joyte park,1 bhk,1,400,16.00,Ready to move,,
Built-up Area,Dhankawadi,Gulab nagar,2 bhk,1,1120,54.00,Ready to move,,
Super Built-up Area,Dhankawadi,Suyog Society,1 bhk,1,900,45.00,Ready to move,,
Super Built-up Area,Dhankawadi,Gulab nagar,2 bhk,2,900,60.50,Ready to move,,
Built-up Area,Dhankawadi,Anjani Gaatha,1 bhk,1,634,29.00,Ready to move,,
Plot Area,Dhankawadi,Deep plaza,2 bhk,2,575,33.00,Ready to move,,
Super Built-up Area,Dhankawadi,Sai palace,1 bhk,1,600,24.00,Ready to move,,
Built-up Area,Dhankawadi,Siddhant,1 Rk,1,381,15.50,Ready to move,,
Built-up Area,Dhankawadi,Vastushodh,1 Rk,1,380,14.00,Ready to move,,
Super Built-up Area,Dhankawadi,Ace Meghsparsh,1 bhk,1,930,80.00,Ready to move,,
Super Built-up Area,Dhankawadi,Kumar pinakin,2 bhk,2,1062,90.00,Ready to move,,
Plot Area,Dhankawadi,Jagdish society,4 bhk,5,3500,199.00,Ready to move,,
Built-up Area,Dhankawadi,Om apartment,1 bhk,1,680,28.00,Ready to move,,
Super Built-up Area,Karve Nagar,AMA turf,2 bhk,2,1200,135.00,Ready to move,,
Plot Area,Dhankawadi,,2 bhk,2,1650,112.00,Ready to move,,
Super Built-up Area,Karve Nagar,,1 bhk,1,656,46.00,Ready to move,,
Super Built-up Area,Karve Nagar,Anjani Gaatha,1 bhk,1,612,25.00,Ready to move,,
Built-up Area,Karve Nagar,Sagar Residency,1 bhk,1,586,27.00,Ready to move,,
Super Built-up Area,Karve Nagar,Raviraj,2 bhk,2,998,62.00,Ready to move,,
Super Built-up Area,Karve Nagar,Om sai,1 bhk,1,530,19.00,Ready to move,,
Plot Area,Dhankawadi,Sagar Darshan,5 bhk,5,3800,170.00,Ready to move,,
Built-up Area,Dhankawadi,Neelkanth,1 bhk,1,400,18.00,Ready to move,,
Built-up Area,Dhankawadi,Sacha sauda ,2 bhk,1,582,21.50,Ready to move,,
Plot Area,Dhankawadi,,8 bhk,7,2100,225.00,Ready to move,,
Built-up Area,Karve Nagar,Sri Sairaj,1 bhk,1,450,38.00,Ready to move,,
Super Built-up Area,Dhankawadi,Shivshakti,1 bhk,1,380,15.00,Ready to move,,
Super Built-up Area,Karve Nagar,Oxy Vally,1 bhk,1,500,40.00,Ready to move,,
Super Built-up Area,Dhankawadi,Raut Baug,1  bhk,1,560,38.00,Ready to move,,
Super Built-up Area,Dhankawadi,Parth,2 bhk,1,585,45.00,Ready to move,,
Super Built-up Area,Dhankawadi,Ganesh Prabha,1 bhk,1,640,40.00,Ready to move,,
Built-up Area,Dhankawadi,Raut Baug,1 bhk,1,640,41.00,Ready to move,,
Built-up Area,Dhankawadi,Smruti,1 bhk,2,630,30.00,Ready to move,,
Built-up Area,Karve Nagar,Jyoti Park,2 bhk,2,610,45.00,Ready to move,,
Built-up Area,Dhankawadi,,1 bhk,1,520,21.00,Ready to move,,
Built-up Area,Karve Nagar,GPC,2 bhk,1,730,95.00,Ready to move,,
Built-up Area,Bibwewadi,Kohinoor,2 bhk,2,763,73.20,Under construction,,
Built-up Area,Bibwewadi,Sai shilp,3 bhk,3,1107,135.00,Under construction,,
Built-up Area,Bibwewadi,Lake Town,3 bhk,4,1300,110.00,Under construction,,
